Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,841,15,3100.0,3837.791158382224,164.63789995759726,7564.103599870577,157.3436385255648,4.675750296137994,0.08339625974086791,3100,6300,6600,6600,6900,7000,7200,7300,7600,7600,7600
,Aggregated,841,15,3100.0,3837.791158382224,164.63789995759726,7564.103599870577,157.3436385255648,4.675750296137994,0.08339625974086791,3100,6300,6600,6600,6900,7000,7200,7300,7600,7600,7600
