Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralservice?lower=0&upper=3.149,1451,0,3200.0,3732.860396209515,2862.1798999997736,10703.273999999965,188.0,8.073547367584979,0.0,3200,3400,3600,3900,5700,6700,7800,8700,10000,11000,11000
,Aggregated,1451,0,3200.0,3732.860396209515,2862.1798999997736,10703.273999999965,188.0,8.073547367584979,0.0,3200,3400,3600,3900,5700,6700,7800,8700,10000,11000,11000
