Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,423,0,19000.0,17030.230016075664,1683.4078999995654,20979.6323999999,160.0,2.3528177291376142,0.0,19000,19000,19000,19000,19000,20000,20000,20000,21000,21000,21000
,Aggregated,423,0,19000.0,17030.230016075664,1683.4078999995654,20979.6323999999,160.0,2.3528177291376142,0.0,19000,19000,19000,19000,19000,20000,20000,20000,21000,21000,21000
