Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,12,12,4100.0,4079.2257833334133,4056.7949999995108,4103.1644000004235,0.0,1.682965777461429,1.682965777461429,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,12,12,4100.0,4079.2257833334133,4056.7949999995108,4103.1644000004235,0.0,1.682965777461429,1.682965777461429,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
