Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,4,4,21030.68730002269,21046.99972498929,21030.68730002269,21058.424999937415,0.0,0.0446351468387235,0.0446351468387235,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,4,4,21030.68730002269,21046.99972498929,21030.68730002269,21058.424999937415,0.0,0.0446351468387235,0.0446351468387235,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
