Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,205,205,150.0,184.6016243902385,119.23600000045553,349.2254000002504,166.0,12.916178967047061,12.916178967047061,150,170,200,290,300,320,330,340,350,350,350
,Aggregated,205,205,150.0,184.6016243902385,119.23600000045553,349.2254000002504,166.0,12.916178967047061,12.916178967047061,150,170,200,290,300,320,330,340,350,350,350
